Array_size,Time,Times_to_run,Element_size_range
43600,919.4836616516113,3,1000
43700,869.1904544830322,3,1000
43800,880.3446292877197,3,1000
43900,889.0843391418457,3,1000
44000,873.0649948120117,3,1000
44100,911.6930961608887,3,1000
44200,888.6637687683105,3,1000
44300,865.5815124511719,3,1000
44400,898.5261917114258,3,1000
44500,919.6810722351074,3,1000
44600,911.5760326385498,3,1000
44700,890.1305198669434,3,1000
44800,918.5624122619629,3,1000
44900,867.9585456848145,3,1000
45000,912.2927188873291,3,1000
45100,910.9234809875488,3,1000
45200,932.8389167785645,3,1000
45300,905.5404663085938,3,1000
45400,918.4620380401611,3,1000
45500,916.924238204956,3,1000
45600,961.8973731994629,3,1000
45700,969.4790840148926,3,1000
45800,953.0513286590576,3,1000
45900,923.288106918335,3,1000
46000,1018.9704895019531,3,1000
46100,1004.7552585601807,3,1000
46200,989.5076751708984,3,1000
46300,958.6849212646484,3,1000
46400,908.318042755127,3,1000
46500,919.0728664398193,3,1000
46600,1013.216495513916,3,1000
46700,936.2735748291016,3,1000
46800,919.1818237304688,3,1000
46900,988.6507987976074,3,1000
47000,1032.2527885437012,3,1000
47100,936.6164207458496,3,1000
47200,1048.5122203826904,3,1000
47300,995.8388805389404,3,1000
47400,996.2713718414307,3,1000
47500,972.1310138702393,3,1000
47600,938.2462501525879,3,1000
47700,946.6967582702637,3,1000
47800,973.975419998169,3,1000
47900,1040.8697128295898,3,1000
48000,1004.9324035644531,3,1000
48100,1029.1099548339844,3,1000
48200,1078.660011291504,3,1000
48300,1067.7125453948975,3,1000
48400,1020.4758644104004,3,1000
48500,976.6337871551514,3,1000
48600,1011.5385055541992,3,1000
48700,1028.4013748168945,3,1000
48800,982.0613861083984,3,1000
48900,1015.9420967102051,3,1000
49000,1004.7168731689453,3,1000
49100,994.1427707672119,3,1000
49200,989.8760318756104,3,1000
49300,1024.8422622680664,3,1000
49400,976.3507843017578,3,1000
49500,995.4791069030762,3,1000
49600,1120.0497150421143,3,1000
49700,1445.3301429748535,3,1000
49800,1715.4011726379395,3,1000
49900,1508.3975791931152,3,1000
