Array_size,Time,Times_to_run,Element_size_range
17800,3.8639999628067017,3,1000
17900,3.4509000182151794,3,1000
18000,3.4751999974250793,3,1000
18100,3.524600028991699,3,1000
18200,3.5162999629974365,3,1000
18300,3.536400020122528,3,1000
18400,3.580999970436096,3,1000
18500,3.5606000423431396,3,1000
18600,4.040499985218048,3,1000
18700,3.642900049686432,3,1000
18800,3.696399986743927,3,1000
18900,3.6545000076293945,3,1000
19000,3.695200026035309,3,1000
19100,4.124599993228912,3,1000
19200,3.731499969959259,3,1000
19300,3.747499942779541,3,1000
19400,3.79229998588562,3,1000
19500,3.790600001811981,3,1000
19600,4.338800013065338,3,1000
19700,3.847699999809265,3,1000
19800,3.8533999919891357,3,1000
19900,3.8568000197410583,3,1000
20000,3.9087000489234924,3,1000
20100,4.314999997615814,3,1000
20200,3.985900044441223,3,1000
20300,3.863800048828125,3,1000
20400,3.8781999945640564,3,1000
20500,3.896899998188019,3,1000
20600,4.4860000014305115,3,1000
20700,4.788699984550476,3,1000
20800,4.628899991512299,3,1000
20900,4.284200012683868,3,1000
21000,4.116500020027161,3,1000
21100,4.180099964141846,3,1000
21200,4.223900020122528,3,1000
21300,5.224300026893616,3,1000
21400,4.235599994659424,3,1000
21500,15.348699986934662,3,1000
21600,10.928399980068207,3,1000
21700,4.833899974822998,3,1000
21800,4.442900002002716,3,1000
21900,4.370299994945526,3,1000
22000,4.415899991989136,3,1000
22100,4.461000025272369,3,1000
22200,4.445499956607819,3,1000
22300,5.017599999904633,3,1000
22400,8.057799994945526,3,1000
22500,5.538900017738342,3,1000
22600,6.108999967575073,3,1000
22700,5.5825000405311584,3,1000
22800,6.0485000014305115,3,1000
22900,4.722099959850311,3,1000
23000,5.081200003623962,3,1000
23100,4.700700044631958,3,1000
23200,5.056500017642975,3,1000
23300,4.806599974632263,3,1000
23400,4.970200002193451,3,1000
23500,4.910700023174286,3,1000
23600,4.819199979305267,3,1000
23700,5.013300001621246,3,1000
23800,5.039699971675873,3,1000
23900,5.759100019931793,3,1000
24000,6.011099994182587,3,1000
24100,6.285400032997131,3,1000
24200,6.244399964809418,3,1000
24300,7.851700007915497,3,1000
24400,7.9944000244140625,3,1000
24500,9.991199970245361,3,1000
24600,10.026600003242493,3,1000
24700,10.108399987220764,3,1000
24800,7.747200012207031,3,1000
24900,6.160700023174286,3,1000
25000,5.724900007247925,3,1000
25100,5.328400015830994,3,1000
25200,6.270699977874756,3,1000
25300,5.580900013446808,3,1000
25400,6.52700001001358,3,1000
25500,5.616199970245361,3,1000
25600,6.025499999523163,3,1000
25700,5.419399976730347,3,1000
25800,6.3747000098228455,3,1000
25900,5.550200045108795,3,1000
26000,5.973699986934662,3,1000
26100,5.625099956989288,3,1000
26200,6.2567999958992,3,1000
26300,6.2204999923706055,3,1000
26400,6.5954999923706055,3,1000
26500,6.241900026798248,3,1000
26600,5.602799952030182,3,1000
26700,6.3057000041008,3,1000
26800,6.5551000237464905,3,1000
26900,15.109499990940094,3,1000
27000,11.298700034618378,3,1000
27100,9.277300000190735,3,1000
27200,8.716600000858307,3,1000
27300,6.675899982452393,3,1000
27400,5.7652000188827515,3,1000
27500,5.606200039386749,3,1000
27600,5.705900013446808,3,1000
27700,5.659500002861023,3,1000
27800,6.187099993228912,3,1000
27900,5.617399990558624,3,1000
28000,6.207199990749359,3,1000
28100,5.618300020694733,3,1000
28200,6.199400007724762,3,1000
28300,5.683200001716614,3,1000
28400,5.627400040626526,3,1000
